85,30,-1359,-10,1,4,2
77,16,-1371,-10,1,4,2
77,16,-1371,-9,2,5,2
608,28,-1358,-9,2,5,2
608,28,-1358,-20,-2,553,2
611,23,-1347,-20,-2,553,2
617,33,-1358,-20,-2,553,2
617,33,-1358,-19,5,0,2
608,37,-1357,-19,5,0,2
608,37,-1357,-21,-6,529,2
610,29,-1373,-21,-6,529,2
610,29,-1373,-34,-9,565,2
611,38,-1343,-34,-9,565,2
611,38,-1343,-34,14,543,2
609,31,-1360,-34,14,543,2
609,31,-1360,-29,-2,536,2
612,34,-1331,-29,-2,536,2
86,35,-1341,-29,-2,536,2
86,35,-1341,-38,-11,570,2
86,36,-1411,-38,-11,570,2
86,36,-1411,7,-14,-31,2
89,30,-1392,7,-14,-31,2
89,30,-1392,1,0,2,2
70,33,-1391,1,0,2,2
70,33,-1391,7,-12,-5,2
78,37,-1373,7,-12,-5,2
78,37,-1373,-4,-3,-13,2
69,28,-1391,-4,-3,-13,2
78,15,-1372,-4,-3,-13,2
78,15,-1372,7,-23,-22,2
87,31,-1399,7,-23,-22,2
87,31,-1399,-7,-7,0,2
75,16,-1394,-7,-7,0,2
75,16,-1394,-4,-6,-13,2
78,31,-1388,-4,-6,-13,2
78,31,-1388,11,-17,-21,2
76,30,-1383,11,-17,-21,2
76,30,-1383,-21,-9,-26,2
75,32,-1366,-21,-9,-26,2
89,43,-1400,-21,-9,-26,2
89,43,-1400,-21,-229,529,2
609,24,-1373,-21,-229,529,2
609,24,-1373,-15,12,544,2
609,32,-1381,-15,12,544,2
609,32,-1381,-17,-15,529,2
94,41,-1352,-17,-15,529,2
94,41,-1352,-6,9,536,2
79,31,-1395,-6,9,536,2
79,31,-1395,-7,2,-9,2
89,43,-1386,-7,2,-9,2
89,43,-1386,-17,4,5,2
88,35,-1395,-17,4,5,2
608,28,-1406,-17,4,5,2
608,28,-1406,-5,-4,549,2
82,24,-1391,-5,-4,549,2
82,24,-1391,-11,-13,545,2
82,41,-1388,-11,-13,545,2
82,41,-1388,-15,-3,552,2
611,27,-1392,-15,-3,552,2
611,27,-1392,-8,1,520,2
83,28,-1404,-8,1,520,2
83,28,-1404,-8,-15,533,2
94,31,-1381,-8,-15,533,2
94,28,-1382,-8,-15,533,2
94,28,-1382,-19,-2,548,2
84,30,-1386,-19,-2,548,2
84,30,-1386,-8,3,526,2
82,33,-1388,-8,3,526,2
82,33,-1388,-7,4,7,2
618,27,-1390,-7,4,7,2
618,27,-1390,-15,5,529,2
81,26,-1395,-15,5,529,2
81,26,-1395,-19,10,549,2
73,35,-1393,-19,10,549,2
73,35,-1393,-7,-7,557,2
94,29,-1391,-7,-7,557,2
87,33,-1392,-7,-7,557,2
87,33,-1392,-9,5,526,2
91,26,-1378,-9,5,526,2
91,26,-1378,-11,3,524,2
86,27,-1358,-11,3,524,2
86,27,-1358,6,0,550,2
79,14,-1396,6,0,550,2
79,14,-1396,-1256,-19,-21,2
76,12,-1411,-1256,-19,-21,2
76,12,-1411,9,-17,-20,2
70,13,-1393,9,-17,-20,2
75,-2,-1395,9,-17,-20,2
75,-2,-1395,-1262,-19,-14,2
91,11,-1384,-1262,-19,-14,2
91,11,-1384,10,-26,-29,2
89,3,-1389,10,-26,-29,2
89,3,-1389,2,-31,-19,2
75,0,-1422,2,-31,-19,2
75,0,-1422,4,-26,5,2
61,26,-1395,4,-26,5,2
61,26,-1395,1,-2,-29,2
70,20,-1390,1,-2,-29,2
70,20,-1390,-1,-20,524,2
71,17,-1399,-1,-20,524,2
74,10,-1401,-1,-20,524,2
74,10,-1401,1,-39,4,2
